product	platform	p_group	focus_area	support_level	status	meets_volume_criteria	support_level_desc
Cloud Functions	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Functions for Firebase	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud GPUs	Google Cloud	Data	AI/ML	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/ai-and-machine-learning
Cloud GPUs	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Healthcare API	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Cloud IAM	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud IDS	Google Cloud	Infrastructure	Networking	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/networking
Cloud IDS	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Identity	Google Cloud	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/developer-tools
Cloud Identity	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Key Management	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Load Balancing	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Logging	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Mobile App	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Cloud Monitoring	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud NAT	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Profiler	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Run	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud SDK	Google Cloud	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/developer-tools
Cloud SDK	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud SQL	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Scheduler	Google Cloud	Data	Data Engineering	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/integration-services
Cloud Scheduler	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Shell	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Source Repositories	Google Cloud	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/developer-tools
Cloud Source Repositories	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Spanner	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Spanner	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Storage	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Storage	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	MANUALLY ASSIGNED
Cloud Storage for Firebase	Google Cloud	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/storage
Cloud Storage for Firebase	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud TPUs	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
Cloud Tasks	Google Cloud	Data	Data Engineering	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/integration-services
Cloud Tasks	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Trace	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Workstations	Google Cloud	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/developer-tools
Cloud Workstations	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Compute Engine	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Confidential Computing	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Config Connector	Google Cloud	Infrastructure	Kubernetes	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Config Management	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Contact Center AI	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Cost Management	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Data Catalog	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Database Migration Service	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Dataflow	Google Cloud	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/data-analytics
Dataflow	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Dataform	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Dataplex	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Dataprep	Google Cloud	Data	Data Analytics	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/data-analytics
Dataproc	Google Cloud	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/data-analytics
Dataproc	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Datastream	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Deep Learning Containers	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Deep Learning Containers	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
Deep Learning VM Image	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Deep Learning VM Image	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
Deployment Manager	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Device Connect for Fitbit	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Dialogflow	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Document AI	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Duet AI for Google Workspace	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Duet AI in Google Cloud (Preview)	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Earth Engine	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Earth Engine	Google Cloud	Data	Data Analytics	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/data-analytics
Error Reporting	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Eventarc	Google Cloud	Data	Data Engineering	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/integration-services
Eventarc	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Filestore	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Firebase Authentication	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Firebase Crashlytics	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Firebase Realtime Database	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Firebase Realtime Database*	Google Cloud	Data	Databases	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Firebase Test Lab	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Firestore	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
General question	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Generative AI on Vertex AI	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Google Cloud Backup and DR	Google Cloud	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/storage
Google CloudSQL	Google Cloud	Data	Databases	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Google Distributed Cloud	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Google Distributed Cloud Edge	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Google Distributed Cloud Hosted	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Google Kubernetes Engine (GKE)	Google Cloud	Infrastructure	Kubernetes	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Google Maps Platform	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Google Marketing Platform	Google Cloud	Data	Data Analytics	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/data-analytics
Google Workspace	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Gradle App Engine Plugin	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Hybrid Connectivity	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Identity Platform	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Identity and Access Management	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Identity and Access Management (IAM)	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Identity-Aware Proxy	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Immersive Stream for XR	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Infrastructure Manager	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Intelligent products (Preview)	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
Knative	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Kubernetes applications on Google Cloud Marketplace	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Live Stream API	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Local SSD	Google Cloud	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/storage
Looker	Google Cloud	Data	Business Intelligence	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Looker Studio	Google Cloud	Data	Business Intelligence	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Managed Service for Microsoft Active Directory	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Managed Service for Prometheus	Google Cloud	Infrastructure	Kubernetes	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Mandiant Academy	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Mandiant Attack Surface Management	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Mandiant Consulting Services	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Mandiant Digital Threat Monitoring	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Mandiant Incident Response Services	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Mandiant Managed Detection and Response	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Mandiant Security Validation	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Mandiant Threat Intelligence	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Marketplace For ISVs	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Maven App Engine Plugin	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Media Translation	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
Memorystore	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Migrate to Containers	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Migrate to Virtual Machines	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Migration Center	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Natural Language AI	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
NetApp Volumes	Google Cloud	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/storage
Network Connectivity Center	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Network Intelligence Center	Google Cloud	Infrastructure	Networking	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/networking
Network Service Tiers	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
OpenCue	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Parallelstore	Google Cloud	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/storage
Payment Gateway	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Persistent Disk	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Personalized Service Health	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Policy Intelligence	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Private Service Connect	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Product Discovery	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
Pub/Sub	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/integration-services
Pub/Sub	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Rapid Assessment & Migration Program (RAMP)	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Recommendations AI	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Recommender	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
SQL Server on Google Cloud	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Secret Manager	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Security Command Center	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Sensitive Data Protection	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Service Catalog	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Service Directory	Google Cloud	Infrastructure	Networking	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/networking
Service Mesh	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Shielded VMs	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Shielded VMs	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Skaffold	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Software Delivery Shield	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Sole-tenant Nodes	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Spectrum Access System (SAS)	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Speech-to-Text	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Spot VMs	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Storage Transfer Service	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Tau VM	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Tekton	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Telecom Data Fabric	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Telecom Network Automation	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Telecom Subscriber Insights	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
TensorFlow Enterprise	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
Terraform on Google Cloud	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Text-to-Speech	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Titan Security Key	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Tools for Eclipse	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Tools for PowerShell	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Transcoder API	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Transfer Appliance	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Translation AI	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
VMware Engine	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
VPC Service Controls	Google Cloud	Infrastructure	Security and Identity	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/security-and-identity
VPC Service Controls	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Vertex AI	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Vertex AI Notebooks	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Vertex AI Platform	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Vertex AI Search and Conversation	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Vertex AI Workbench	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Vertex Explainable AI	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
